# Optical absorption spectrum of Rhodamine B in ethanol
#
# Data from PhotochemCAD 2.1a has been munged on 26 February 2012 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by R.-C. A. Fuh on 06-20-1995 using a Cary 3.  
# The absorption values were collected using a spectral bandwidth of 1.0 nm, a signal averaging time of 0.133 sec, a data interval of 0.25 nm, and a scan rate of 112.5 nm/min.
#
# These measurements were scaled to make the molar extinction coefficient match
# the value of 106000 cm-1/M at 542.8 nm.  These values were 
# then interpolated to report extinction coefficients at regular 1nm intervals
#
# The reported molar extinction coefficient is from
# Eastman Laboratory Chemicals Catalog No. 55 (1993-94), Fisher Scientific.
#
##Wavelength (nm)	Molar Extinction (cm-1/M) 
500.99	27159
501.24	27452
501.49	27887
501.74	27991
501.99	28289
502.24	28600
502.49	28758
502.74	29254
502.99	29332
503.24	29862
503.49	29950
503.74	30053
503.99	30402
504.24	30739
504.49	30954
504.74	31105
504.99	31335
505.24	31507
505.49	32045
505.74	32049
505.99	32507
506.24	32591
506.49	32635
506.74	33002
506.99	32898
507.24	33446
507.49	33636
507.74	33524
507.99	34235
508.24	34289
508.49	34572
508.74	34457
508.99	34614
509.24	34988
509.49	35215
509.74	35399
509.99	35791
510.24	35837
510.49	36230
510.74	36350
510.99	36463
511.24	36694
511.49	36828
511.74	37044
511.99	37208
512.24	37436
512.49	37896
512.74	38203
512.99	38338
513.24	38583
513.49	38535
513.74	38935
513.99	39047
514.24	39527
514.49	39863
514.74	40041
514.99	40255
515.24	40779
515.49	40749
515.74	41211
515.99	41701
516.24	42156
516.49	42410
516.74	42678
516.99	43099
517.24	43589
517.49	43635
517.74	44168
517.99	44434
518.24	44832
518.49	45302
518.74	45551
518.99	46134
519.24	46262
519.49	46893
519.74	47225
519.99	47425
520.24	48141
520.49	48406
520.74	49121
520.99	49751
521.24	50159
521.49	50595
521.74	51348
521.99	51858
522.24	52318
522.49	52849
522.74	53325
522.99	54212
523.24	54487
523.49	55285
523.74	56006
523.99	56601
524.24	57506
524.49	57881
524.74	58577
524.99	59033
525.24	59910
525.49	60580
525.74	61357
525.99	61929
526.24	62758
526.49	63538
526.74	64029
526.99	64825
527.24	65786
527.49	66556
527.74	67507
527.99	68209
528.24	68934
528.49	69833
528.74	70994
528.99	71712
529.24	72185
529.49	73240
529.74	74151
529.99	74993
530.24	75563
530.49	76849
530.74	77682
530.99	78243
531.24	79282
531.49	79961
531.74	81003
531.99	81953
532.24	82976
532.49	83742
532.74	84535
532.99	85558
533.24	86471
533.49	87023
533.74	87385
533.99	88343
534.24	88694
534.49	89588
534.74	90411
534.99	91072
535.24	91930
535.49	92703
535.74	93477
535.99	94049
536.24	95102
536.49	95550
536.74	96448
536.99	97204
537.24	97883
537.49	98707
537.74	99120
537.99	99752
538.24	100308
538.49	101107
538.74	101395
538.99	101817
539.24	102649
539.49	102997
539.74	103413
539.99	103751
540.24	103749
540.49	104416
540.74	104968
540.99	105179
541.24	105100
541.49	105244
541.74	105462
541.99	105524
542.24	105617
542.49	105924
542.74	106000
542.99	105788
543.24	105646
543.49	105592
543.74	105615
543.99	105189
544.24	104781
544.49	104872
544.74	104126
544.99	104249
545.24	103734
545.49	103299
545.74	102588
545.99	102384
546.24	101959
546.49	101476
546.74	100938
546.99	100103
547.24	99223
547.49	98839
547.74	98165
547.99	97493
548.24	96489
548.49	95736
548.74	94687
548.99	93892
549.24	93000
549.49	91834
549.74	91200
549.99	89654
550.24	89144
550.49	87758
550.74	86993
550.99	85970
551.24	84675
551.49	83673
551.74	82376
551.99	81437
552.24	79791
552.49	79129
552.74	77762
552.99	76814
553.24	75293
553.49	74255
553.74	72997
553.99	71614
554.24	70310
554.49	69124
554.74	67388
554.99	65946
555.24	64367
555.49	62966
555.74	61507
555.99	60556
556.24	59047
556.49	57986
556.74	56715
556.99	55473
557.24	54297
557.49	52857
557.74	51807
557.99	50846
558.24	49687
558.49	48396
558.74	47418
558.99	46341
559.24	44729
559.49	44154
559.74	42664
559.99	41726
560.24	40672
560.49	39481
560.74	38601
560.99	37538
561.24	36663
561.49	35768
561.74	34604
561.99	33467
562.24	32581
562.49	31923
562.74	30652
562.99	30220
563.24	28960
563.49	28254
563.74	27300
563.99	26340
564.24	25668
564.49	24904
564.74	24077
564.99	23221
565.24	22513
565.49	21640
565.74	21108
565.99	20398
566.24	19543
566.49	18962
566.74	18334
566.99	17699
567.24	17128
567.49	16420
567.74	15901
567.99	15111
568.24	14788
568.49	13943
568.74	13592
568.99	13088
569.24	12669
569.49	12150
569.74	11516
569.99	10872
570.24	10638
570.49	9903
570.74	9969
570.99	9519
571.24	8882
571.49	8442
571.74	8237
571.99	7938
572.24	7724
572.49	7066
572.74	7200
572.99	6393
573.24	6423
573.49	5988
573.74	6031
573.99	5789
574.24	5256
574.49	5197
574.74	4926
574.99	4978
575.24	4602
575.49	4377
575.74	4073
575.99	4090
576.24	3674
576.49	3497
576.74	3145
576.99	3167
577.24	2878
577.49	2765
577.74	2780
577.99	2509
578.24	2346
578.49	2286
578.74	2091
578.99	1927
579.24	1892
579.49	1693
579.74	1474
579.99	1244
580.24	1492
580.49	1335
580.74	1123
580.99	664
581.24	980
581.49	873
581.74	811
581.99	958
582.24	736
582.49	632
582.74	556
582.99	565
583.24	222
583.49	244
583.74	264
583.99	296
584.24	409
584.49	47
584.74	8
584.99	158
585.24	-44
585.49	19
585.74	-223
585.99	133
586.24	-82
586.49	-184
586.74	-215
586.99	-97
587.24	-174
587.49	-131
587.74	-182
587.99	-215
588.24	-202
588.49	-305
588.74	-338
588.99	-520
589.24	-463
589.49	-391
589.74	-353
589.99	-357
590.24	-469
590.49	-397
590.74	-329
590.99	-580
591.24	-456
591.49	-597
591.74	-538
591.99	-647
592.24	-587
592.49	-442
592.74	-517
592.99	-465
593.24	-401
593.49	-432
593.74	-478
593.99	-533
594.24	-411
594.49	-692
594.74	-449
594.99	-509
595.24	-520
595.49	-711
595.74	-471
595.99	-507
596.24	-475
596.49	-422
596.74	-559
596.99	-528
597.24	-635
597.49	-261
597.74	-205
597.99	-642
598.24	-332
598.49	-590
598.74	-387
598.99	-709
599.24	-693
599.49	-654
599.74	-557
599.99	-528
600.24	-517
600.49	-314
600.74	-317
600.99	-622
601.24	-582
601.49	-318
601.74	-358
601.99	-524
602.24	-298
602.49	-500
602.74	-407
602.99	-472
603.24	-555
603.49	-424
603.74	-641
603.99	-306
604.24	-510
604.49	-395
604.74	-562
604.99	-569
605.24	-360
605.49	-628
605.74	-463
605.99	-688
606.24	-545
606.49	-418
606.74	-477
606.99	-496
607.24	-450
607.49	-175
607.74	-693
607.99	-278
608.24	-310
608.49	-487
608.74	-428
608.99	-587
609.24	-389
609.49	-504
609.74	-346
609.99	-668
610.24	-216
610.49	-291
610.74	-358
610.99	-516
611.24	-470
